id,creation_date,post_id,vote_type_id
239878771,10/8/2021 0:00:00,69459921,8
136741131,4/15/2017 0:00:00,43432275,11
137248902,4/23/2017 0:00:00,25780017,15
233478894,6/13/2021 0:00:00,67955216,15
233547593,6/14/2021 0:00:00,67770864,8
155944421,1/27/2018 0:00:00,48474636,15
245178650,1/17/2022 0:00:00,70686046,8
245990329,1/31/2022 0:00:00,70895527,8
57103445,11/11/2013 0:00:00,19520196,8
239163874,9/24/2021 0:00:00,69005866,9
135482686,3/28/2017 0:00:00,43074753,15
135584544,3/29/2017 0:00:00,15537303,9
135864093,4/3/2017 0:00:00,43178968,15
232674864,5/30/2021 0:00:00,67656640,8
154855780,1/11/2018 0:00:00,48205816,15
154892218,1/11/2018 0:00:00,48207842,15
43220125,3/14/2013 0:00:00,15421431,15
43979593,3/27/2013 0:00:00,15650409,11
36579098,11/16/2012 0:00:00,13376207,15
90250252,5/30/2015 0:00:00,30396364,9
225941751,2/7/2021 0:00:00,66091831,11
70239462,6/19/2014 0:00:00,15033176,15
70888461,7/2/2014 0:00:00,24521408,15
70927905,7/2/2014 0:00:00,24486977,8
70998235,7/3/2014 0:00:00,11076314,9
71029518,7/4/2014 0:00:00,24566760,15
50286707,7/11/2013 0:00:00,17593576,11
50490791,7/15/2013 0:00:00,17609381,15
116528369,6/22/2016 0:00:00,37940726,15
251748464,5/22/2022 0:00:00,72315713,15
180611268,2/10/2019 0:00:00,54546261,8
180732964,2/12/2019 0:00:00,54642489,15
180971172,2/14/2019 0:00:00,54698087,15
174304361,10/31/2018 0:00:00,52988034,9
174916093,11/10/2018 0:00:00,53076302,9
84142163,2/24/2015 0:00:00,28705078,11
84279623,2/26/2015 0:00:00,27381525,15
64025469,3/7/2014 0:00:00,22249226,11
23081330,1/12/2012 0:00:00,8810024,8
23178394,1/16/2012 0:00:00,8873213,15
103781429,12/20/2015 0:00:00,34376992,15
103899174,12/22/2015 0:00:00,34207813,11
15344647,5/25/2011 0:00:00,6051172,9
15612797,6/2/2011 0:00:00,6218570,15
199679466,12/13/2019 0:00:00,58968215,15
199790447,12/16/2019 0:00:00,59349909,11
199795971,12/16/2019 0:00:00,59351080,15
200012295,12/19/2019 0:00:00,59402319,12
200513806,12/30/2019 0:00:00,59419489,9
30041982,7/3/2012 0:00:00,11306828,15
30226726,7/7/2012 0:00:00,11372113,15
187194255,5/20/2019 0:00:00,56227376,15
187478468,5/24/2019 0:00:00,56294439,15
187645926,5/28/2019 0:00:00,56293318,8
122908956,9/25/2016 0:00:00,39630612,15
122934656,9/26/2016 0:00:00,39670751,8
213127610,7/10/2020 0:00:00,62833504,11
213170038,7/11/2020 0:00:00,62844028,12
213181191,7/11/2020 0:00:00,62849609,11
77025641,10/20/2014 0:00:00,26476053,11
77677844,11/1/2014 0:00:00,26685288,11
148543926,10/5/2017 0:00:00,46580926,15
148783382,10/9/2017 0:00:00,46645041,15
149028756,10/12/2017 0:00:00,46710295,4
219702812,10/25/2020 0:00:00,64529448,15
246670048,2/11/2022 0:00:00,71069280,9
57790811,11/22/2013 0:00:00,19658420,15
